,0
956,neutral
957,neutral
958,positive
959,positive
960,positive
961,positive
962,positive
963,neutral
964,positive
965,neutral
966,positive
967,negative
968,neutral
969,positive
970,positive
971,positive
972,positive
973,neutral
974,positive
975,neutral
976,positive
977,positive
978,neutral
979,positive
980,positive
981,neutral
982,positive
983,positive
984,neutral
985,neutral
986,neutral
987,positive
988,positive
989,neutral
990,neutral
991,neutral
992,positive
993,neutral
994,neutral
995,positive
996,negative
997,negative
998,neutral
999,neutral
1000,neutral
1001,neutral
1002,neutral
1003,neutral
1004,positive
1005,positive
1006,neutral
1007,neutral
1008,neutral
1009,neutral
1010,neutral
1011,neutral
1012,neutral
1013,neutral
1014,neutral
1015,neutral
1016,neutral
1017,neutral
1018,neutral
1019,neutral
1020,neutral
1021,neutral
1022,neutral
1023,neutral
1024,negative
1025,positive
1026,neutral
1027,neutral
1028,positive
1029,neutral
1030,neutral
1031,neutral
1032,neutral
1033,neutral
1034,neutral
1035,neutral
1036,neutral
1037,positive
1038,neutral
1039,negative
1040,positive
1041,neutral
1042,neutral
1043,neutral
1044,positive
1045,neutral
1046,neutral
1047,negative
1048,neutral
1049,neutral
1050,positive
1051,neutral
1052,neutral
1053,neutral
1054,neutral
1055,neutral
1056,neutral
1057,neutral
1058,neutral
1059,neutral
1060,neutral
1061,positive
1062,neutral
1063,neutral
1064,neutral
1065,neutral
1066,neutral
1067,neutral
1068,neutral
1069,neutral
1070,neutral
1071,neutral
1072,neutral
1073,neutral
1074,neutral
1075,positive
1076,neutral
1077,neutral
1078,neutral
1079,neutral
1080,neutral
1081,positive
1082,neutral
1083,neutral
1084,neutral
1085,neutral
1086,neutral
1087,neutral
1088,neutral
1089,neutral
1090,neutral
1091,neutral
1092,neutral
1093,neutral
1094,neutral
1095,neutral
1096,neutral
1097,neutral
1098,neutral
1099,neutral
1100,neutral
1101,neutral
1102,positive
1103,neutral
1104,neutral
1105,neutral
1106,neutral
1107,neutral
1108,neutral
1109,positive
1110,positive
1111,neutral
1112,neutral
1113,neutral
1114,neutral
1115,neutral
1116,neutral
1117,neutral
1118,neutral
1119,neutral
1120,positive
1121,neutral
1122,neutral
1123,positive
1124,neutral
1125,neutral
1126,neutral
1127,positive
1128,neutral
1129,positive
1130,positive
1131,neutral
1132,neutral
1133,neutral
1134,neutral
1135,neutral
1136,neutral
1137,positive
1138,neutral
1139,neutral
1140,neutral
1141,neutral
1142,neutral
1143,neutral
1144,positive
1145,neutral
1146,neutral
1147,neutral
1148,negative
1149,neutral
1150,neutral
1151,neutral
1152,neutral
1153,negative
1154,neutral
1155,neutral
1156,neutral
1157,negative
1158,neutral
1159,neutral
1160,neutral
1161,neutral
1162,neutral
1163,neutral
1164,neutral
1165,neutral
1166,neutral
1167,neutral
1168,neutral
1169,neutral
1170,neutral
1171,negative
1172,neutral
1173,neutral
1174,neutral
1175,neutral
1176,neutral
1177,neutral
1178,neutral
1179,negative
1180,positive
1181,neutral
1182,neutral
1183,neutral
1184,neutral
1185,positive
1186,neutral
1187,neutral
1188,neutral
1189,neutral
1190,neutral
1191,neutral
1192,neutral
1193,neutral
1194,neutral
1195,positive
1196,negative
1197,neutral
1198,neutral
1199,neutral
1200,neutral
1201,neutral
1202,neutral
1203,positive
1204,neutral
1205,negative
1206,neutral
1207,neutral
1208,neutral
1209,neutral
1210,neutral
1211,neutral
1212,neutral
1213,neutral
1214,neutral
1215,neutral
1216,neutral
1217,neutral
1218,neutral
1219,neutral
1220,neutral
1221,neutral
1222,neutral
1223,positive
1224,neutral
1225,neutral
1226,neutral
1227,neutral
1228,positive
1229,neutral
1230,neutral
1231,neutral
1232,neutral
1233,neutral
1234,neutral
1235,neutral
1236,neutral
1237,positive
1238,positive
1239,neutral
1240,neutral
1241,neutral
1242,neutral
1243,neutral
1244,neutral
1245,neutral
1246,neutral
1247,neutral
1248,neutral
1249,neutral
1250,neutral
1251,neutral
1252,neutral
1253,neutral
1254,neutral
1255,neutral
1256,neutral
1257,neutral
1258,neutral
1259,neutral
1260,positive
1261,positive
1262,neutral
1263,neutral
1264,neutral
1265,neutral
1266,neutral
1267,neutral
1268,neutral
1269,neutral
1270,positive
1271,neutral
1272,neutral
1273,neutral
1274,neutral
1275,neutral
1276,neutral
1277,neutral
1278,neutral
1279,neutral
1280,neutral
1281,neutral
1282,positive
1283,neutral
1284,neutral
1285,neutral
1286,positive
1287,neutral
1288,neutral
1289,neutral
1290,neutral
1291,neutral
1292,neutral
1293,positive
1294,neutral
1295,neutral
1296,neutral
1297,neutral
1298,neutral
1299,neutral
1300,positive
1301,neutral
1302,neutral
1303,neutral
1304,neutral
1305,neutral
1306,positive
1307,positive
1308,neutral
1309,neutral
1310,neutral
1311,neutral
1312,neutral
1313,neutral
1314,neutral
1315,neutral
1316,neutral
1317,neutral
1318,neutral
1319,neutral
1320,positive
1321,neutral
1322,neutral
1323,neutral
1324,neutral
1325,neutral
1326,neutral
1327,neutral
1328,neutral
1329,positive
1330,neutral
1331,neutral
1332,neutral
1333,neutral
1334,neutral
1335,neutral
1336,neutral
1337,neutral
1338,neutral
1339,neutral
1340,neutral
1341,neutral
1342,positive
1343,neutral
1344,neutral
1345,positive
1346,neutral
1347,neutral
1348,neutral
1349,neutral
1350,neutral
1351,neutral
1352,neutral
1353,neutral
1354,neutral
1355,neutral
1356,neutral
1357,neutral
1358,neutral
1359,neutral
1360,neutral
1361,neutral
1362,neutral
1363,neutral
1364,neutral
1365,neutral
1366,neutral
1367,neutral
1368,neutral
1369,positive
1370,neutral
1371,neutral
1372,positive
1373,neutral
1374,neutral
1375,neutral
1376,neutral
1377,neutral
1378,neutral
1379,neutral
1380,neutral
1381,neutral
1382,neutral
1383,neutral
1384,neutral
1385,neutral
1386,neutral
1387,neutral
1388,neutral
1389,neutral
1390,neutral
1391,positive
1392,neutral
1393,neutral
1394,neutral
1395,neutral
1396,neutral
1397,neutral
1398,neutral
1399,neutral
1400,neutral
1401,neutral
1402,neutral
1403,neutral
1404,neutral
1405,neutral
1406,neutral
1407,neutral
1408,neutral
1409,positive
1410,positive
1411,neutral
1412,neutral
1413,neutral
1414,neutral
1415,neutral
1416,neutral
1417,neutral
1418,neutral
1419,neutral
1420,neutral
1421,neutral
1422,neutral
1423,neutral
1424,neutral
1425,neutral
1426,neutral
1427,neutral
1428,neutral
1429,neutral
1430,neutral
1431,neutral
1432,neutral
1433,neutral
1434,positive
1435,neutral
1436,neutral
1437,negative
1438,neutral
1439,neutral
1440,neutral
1441,neutral
1442,neutral
1443,neutral
1444,neutral
1445,neutral
1446,neutral
1447,positive
1448,neutral
1449,neutral
1450,neutral
1451,neutral
1452,neutral
1453,neutral
1454,neutral
1455,neutral
1456,neutral
1457,neutral
1458,neutral
1459,neutral
1460,neutral
1461,neutral
1462,neutral
1463,positive
1464,positive
1465,neutral
1466,neutral
1467,neutral
1468,neutral
1469,positive
1470,neutral
1471,neutral
1472,neutral
1473,neutral
1474,neutral
1475,neutral
1476,neutral
1477,neutral
1478,neutral
1479,neutral
1480,neutral
1481,positive
1482,positive
1483,positive
1484,neutral
1485,neutral
1486,neutral
1487,neutral
1488,neutral
1489,neutral
1490,positive
1491,neutral
1492,neutral
1493,neutral
1494,neutral
1495,neutral
1496,neutral
1497,neutral
1498,neutral
1499,neutral
1500,positive
1501,neutral
1502,neutral
1503,neutral
1504,neutral
1505,neutral
1506,neutral
1507,positive
1508,neutral
1509,positive
1510,neutral
1511,neutral
1512,neutral
1513,neutral
1514,neutral
1515,neutral
1516,neutral
1517,neutral
1518,neutral
1519,neutral
1520,neutral
1521,neutral
1522,neutral
1523,positive
1524,positive
1525,negative
1526,negative
1527,neutral
1528,positive
1529,neutral
1530,neutral
1531,positive
1532,positive
1533,positive
1534,neutral
1535,neutral
1536,positive
1537,neutral
1538,neutral
1539,neutral
1540,positive
1541,neutral
1542,neutral
1543,neutral
1544,neutral
1545,positive
1546,positive
1547,positive
1548,neutral
1549,neutral
1550,neutral
1551,positive
1552,neutral
1553,neutral
1554,positive
1555,positive
1556,neutral
1557,neutral
1558,neutral
1559,neutral
1560,neutral
1561,neutral
1562,neutral
1563,neutral
1564,positive
1565,neutral
1566,neutral
1567,positive
1568,neutral
1569,neutral
1570,negative
1571,neutral
1572,neutral
1573,neutral
1574,neutral
1575,neutral
1576,neutral
1577,neutral
1578,neutral
1579,neutral
1580,neutral
1581,neutral
1582,neutral
1583,neutral
1584,neutral
1585,neutral
1586,neutral
1587,neutral
1588,neutral
1589,neutral
1590,neutral
1591,positive
1592,neutral
